Vercel CLI 50.17.1
Retrieving project…
Fetching logs...
TIME         HOST                                                       LEVEL                                  STATUS  MESSAGE   
07:04:32.95  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
07:04:09.38  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
07:04:09.33  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /                         304     (no messa…
07:04:08.11  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
07:04:06.37  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
07:04:03.20  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               ---     Launching…
07:04:00.26  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
07:03:49.91  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
07:03:49.75  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /                         307     (no messa…
07:03:49.22  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /                         401     (no messa…
07:03:48.56  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /icon-light-32x32.png     401     (no messa…
07:03:48.53  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /icon-light-32x32.png     401     (no messa…
07:03:47.94  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
07:03:47.72  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
07:03:47.03  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
07:03:46.72  vlomis-agenda-wkq7tfbfy-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
