Vercel CLI 50.17.1
Retrieving project…
Fetching logs...
TIME         HOST                                                       LEVEL                                  STATUS  MESSAGE   
06:53:37.66  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:53:36.24  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:53:36.19  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         304     (no messa…
06:53:35.70  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:53:35.65  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         304     (no messa…
06:53:35.13  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               ---     Launching…
06:53:35.09  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         304     (no messa…
06:53:34.53  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               ---     Launching…
06:53:34.43  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         304     (no messa…
06:53:33.69  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               ---     Launching…
06:53:32.89  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:53:28.71  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:53:24.26  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:53:13.27  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:53:13.12  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         307     (no messa…
06:53:08.83  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:53:08.58  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:53:08.31  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:53:08.23  vlomis-agenda-iw664ji5w-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:52:16.87  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /icon-light-32x32.png     401     (no messa…
06:52:16.85  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /icon-light-32x32.png     401     (no messa…
06:52:16.04  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:50:05.25  vlomis-agenda.vercel.app                                   info   λ GET /api/vlomis               500     Launching…
06:49:16.72  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:49:16.65  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         304     (no messa…
06:49:15.89  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:49:15.12  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:49:10.97  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               ---     Launching…
06:49:06.70  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               ---     Launching…
06:49:00.25  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:48:57.82  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:48:57.78  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         307     (no messa…
06:48:57.25  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         401     (no messa…
06:48:53.61  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:48:52.38  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:48:52.34  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:48:51.99  vlomis-agenda-2ovxf34ir-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:46:21.48  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
